"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass"
"64","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Factory","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Extract Transform & Load (ETL)","","","","False","","False","","","","Microsoft | Azure Data Factory","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"60","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Lake Analytics","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Microsoft | Azure Data Lake Analytics","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"59","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Lake Store","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Microsoft | Azure Data Lake Store","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"66","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Machine Learning","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Predictive Analytics","","","","False","","False","","","","Microsoft | Azure Machine Learning","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"63","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Stream Analytics","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration","","","","False","","False","","","","Microsoft | Azure Stream Analytics","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"62","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure IoT Hub","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Application Integration :: Message Queing","","","","False","","False","","","","Microsoft | Azure IoT Hub","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"16","AIGB010.2017","01/26/2017","Application","Approved","True","False","AIGB Application Review","Microsoft","Office 365 StaffHub","12/15/2016","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Consultation/Guidance","False","","Capital Project Management/Budget :: Planning and Budgeting","","Not Known at this Time","False","","False","","","","Microsoft | Office 365 StaffHub","No","0.0000","0.0000","Capital Project Management/Budget :: Planning and Budgeting"
"117","TGB034.2016","06/16/2016","Technology","Approved","False","False","TGB Technology Review","Seeq","Industrial Analytics","06/16/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics","","","","False","","False","","","","Seeq | Industrial Analytics","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"116","TGB035.2016","06/16/2016","Technology","Approved","False","False","TGB Technology Review","SAS","IML","06/16/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Machine Learning","","","","False","","False","","","","SAS | IML","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"115","AIGB010.2016","06/16/2016","Application","Approved","False","False","AIGB Application Review","PMConnect","KM/Enterprise Social","06/16/2016","","On-Premises Hosted Application","Pilot (Small Production Sample)","Consultation/Guidance","False","","Enterprise :: Data and Information Management :: Knowledge Management","","Less than  25","True","","False","","","","PMConnect | KM/Enterprise Social","No","0.0000","0.0000","Enterprise :: Data and Information Management"
"114","TGB036.2016","06/16/2016","Technology","Approved","False","False","TGB Technology Review","DigitizeIt","DigitizeIt","06/06/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Peripherals :: Printing & Printer Management","","","","False","","False","","","","DigitizeIt | DigitizeIt","No","0.0000","0.0000","End User Computing :: Endpoint Computing"
"113","AIGB009.2016","07/14/2016","Application","Approved","False","False","AIGB Application Review","SageRider","Well Ranger","07/14/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Well Construction :: Well Drilling","","Less than  25","False","","False","","","","SageRider | Well Ranger","No","0.0000","0.0000","Engineering :: Well Construction"
"112","AIGB011.2016","07/14/2016","Application","Approved","False","False","AIGB Application Review","Sanvean","GameChanger","07/14/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Production Asset Facility Development","","Less than  25","False","","False","","","","Sanvean | GameChanger","No","0.0000","0.0000","Engineering :: Production Asset Facility Development"
"111","TGB037.2016","07/14/2016","Technology","Approved","False","False","TGB Technology Review","Test Architect","Test Architect","07/14/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management","","","","False","","False","","","","Test Architect | Test Architect","No","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"110","TGB038.2016","07/28/2016","Technology","Approved","False","False","TGB Technology Review","Project Jupyter","Jupyter","07/28/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Data Mining","","","","False","","False","","","","Project Jupyter | Jupyter","Yes","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"109","TGB039.2016","07/28/2016","Technology","Approved","False","False","TGB Technology Review","Accenture","iCARe - Informatica Code Audit and Review Tool","07/28/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Extract Transform & Load (ETL)","","","","False","","False","","","","Accenture | iCARe - Informatica Code Audit and Review Tool","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"108","TGB040.2016","08/11/2016","Technology","Approved","False","False","TGB Technology Review","CVision","PdfCompressor","08/11/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Content Delivery :: Enterprise Content Management :: Document Automation","","","","False","","False","","","","CVision | PdfCompressor","No","0.0000","0.0000","Information Delivery :: Content Delivery"
"107","AIGB012.2016","09/08/2016","Application","Approved","False","False","AIGB Application Review","DNVGL","Synergi Water","09/08/2016","","On-Premises Hosted Application","Proof of Concept/Technology","Raise Awareness","False","","Operations :: Production Wells and Facilities Operations :: Production System Measurement","","Less than  25","False","","False","","","","DNVGL | Synergi Water","No","0.0000","0.0000","Operations :: Production Wells and Facilities Operations"
"106","AIGB013.2016","09/08/2016","Application","Approved","False","False","AIGB Application Review","ATR","Smart Procedures","09/08/2016","","On-Premises Hosted Application","Proof of Concept/Technology","Seeking Approval","False","","Environment, Health and Safety :: EHS Program Management","","Between 25 and 50","False","","False","","","","ATR | Smart Procedures","No","0.0000","0.0000","Environment, Health and Safety :: EHS Program Management"
"105","AIGB014.2016","09/18/2016","Application","Approved","False","False","AIGB Application Review","Siemens ","PLC programming software","09/08/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Operations :: Production Wells and Facilities Operations :: Production System Measurement","","Between 25 and 50","False","","False","","","","Siemens  | PLC programming software","No","0.0000","0.0000","Operations :: Production Wells and Facilities Operations"
"104","AIGB015.2016","09/08/2016","Application","Approved","False","False","AIGB Application Review","NIST","Reference Fluid Thermodynamic and Transport Properties Database 23 (REFPROP)","09/08/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Well Construction :: Well Drilling","","Less than  25","False","","False","","","","NIST | Reference Fluid Thermodynamic and Transport Properties Database 23 (REFPROP)","No","0.0000","0.0000","Engineering :: Well Construction"
"103","AIGB016.2016","09/22/2016","Application","Approved","False","False","AIGB Application Review","Landmark","DecisionSpace Well Planning","09/22/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Between 25 and 50","True","","False","","","","Landmark | DecisionSpace Well Planning","No","0.0000","0.0000","Geoscience :: Asset Exploration"
"102","TGB041.2016","09/22/2016","Technology","Approved","True","False","TGB Technology Review","Hewlett Packard (HPE)","Operations Manager i (OMi)","09/22/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","Hewlett Packard (HPE) | Operations Manager i (OMi)","No","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"101","TGB042.2016","09/22/2016","Technology","Denied","False","False","TGB Technology Review","Jaspersoft","Jasper Dashboards","09/22/2006","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Reporting :: Visualization","","","","False","","False","","","","Jaspersoft | Jasper Dashboards","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"98","TGB043.2016","10/06/2016","Technology","Approved","True","False","TGB Technology Review","SAS","Contextual Analysis","10/06/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Advanced Analytics","","","","False","","False","","","","SAS | Contextual Analysis","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"100","TGB043.2016","10/06/2016","Technology","Approved","True","False","TGB Technology Review","SAS","High-Performance Data Mining","10/06/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Data Mining","","","","False","","False","","","","SAS | High-Performance Data Mining","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"97","TGB043.2016","10/06/2016","Technology","Approved","True","False","TGB Technology Review","SAS","Forecast Server","10/06/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics","","","","False","","False","","","","SAS | Forecast Server","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"99","TGB043.2016","10/06/2016","Technology","Approved","True","False","TGB Technology Review","SAS","Sentiment Analysis","10/06/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Advanced Analytics","","","","False","","False","","","","SAS | Sentiment Analysis","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"96","AIGB017.2016","10/06/2016","Application","Approved","False","False","AIGB Application Review","Cerberus","Cerberus","10/06/2016","","On-Premises Hosted Application","Production","Raise Awareness","False","","Engineering :: Well Construction :: Well Drilling","","Not Known at this Time","False","","False","","","","Cerberus | Cerberus","No","0.0000","0.0000","Engineering :: Well Construction"
"95","AIGB018.2016","10/20/2016","Application","Approved","False","False","AIGB Application Review","Devon","Convert Land Agreements to Structured Data","10/13/2016","","On-Premises Hosted Application","Research & Development","Consultation/Guidance","False","","Land","","Not Known at this Time","False","","False","","","","Devon | Convert Land Agreements to Structured Data","No","0.0000","0.0000","Land"
"93","AIGB019.2016","10/20/2016","Integration","Approved","False","False","AIGB Integration Review","","","10/20/2016","","","Production","Seeking Approval","False","","","","","False","Managed ETL (Batch Extract, Transform, and Load)","False","Engineering :: Well Construction;Enterprise :: Well Status;Geoscience :: Well","Wellview","Actenum","Interface |  Wellview <> Actenum","No","0.0000","0.0000","Integration"
"92","AIGB020.2016","10/20/2016","Integration","Approved","False","False","AIGB Integration Review","","","10/20/2016","","","Production","Seeking Approval","False","","","","","False","Proprietary Connector","False","Capital Project Management/Budget :: Portfolio","Wellview","Enersight","Interface |  Wellview <> Enersight","No","0.0000","0.0000","Integration"
"88","AIGB021.2016","11/03/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Corporate News App","11/03/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Not Known at this Time","False","","False","","","","Devon | Corporate News App","No","0.0000","0.0000","Corporate :: Corporate Operations"
"89","AIGB021.2016","11/03/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Gallerific App","11/03/2016","","Cloud Hosted Platform as a Service (PaaS)","Research & Development","Raise Awareness","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Gallerific App","No","0.0000","0.0000","Corporate :: Corporate Operations"
"90","AIGB021.2016","11/03/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Image Slider","11/03/2016","","Cloud Hosted Platform as a Service (PaaS)","Research & Development","Raise Awareness","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Image Slider","No","0.0000","0.0000","Corporate :: Corporate Operations"
"87","AIGB021.2016","11/03/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Picture Library Photo Wall","11/03/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Picture Library Photo Wall","No","0.0000","0.0000","Corporate :: Corporate Operations"
"91","AIGB021.2016","11/03/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Stock Ticker","11/03/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Not Known at this Time","False","","False","","","","Devon | Stock Ticker","No","0.0000","0.0000","Corporate :: Corporate Operations"
"86","AIGB022.2016","11/03/2016","Application","Approved","False","False","AIGB Application Review","LMKR","GeoGraphix PRIZM","11/03/2016","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Geoscience :: Asset Exploration","","Less than  25","False","","False","","","","LMKR | GeoGraphix PRIZM","No","0.0000","0.0000","Geoscience :: Asset Exploration"
"79","AIGB020.2017","03/09/2017","Application","Approved","False","True","AIGB Application Review","IKON Science","RokDoc (GeoMechanics and Pressure Prediction)","03/01/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Geoscience","","Less than  25","True","","False","","","","IKON Science | RokDoc (GeoMechanics and Pressure Prediction)","No","25000","0.0000","Geoscience"
"18","AIGB021.2017","03/09/2017","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Nomadis","Nomadis Travel Accomodation and Workforce Scheduling","12/15/2016","","Cloud Hosted Software as a Service (SaaS)","Production","Raise Awareness","False","","Supply Chain :: Transportation and Logistics :: Transportation and Logistics Management","","Greater than 50","True","","False","","","","Nomadis | Nomadis Travel Accomodation and Workforce Scheduling","No","0.0000","240000","Supply Chain :: Transportation and Logistics"
"80","AIGB022.2017","03/09/2017","Application","Approved","False","False","AIGB Application Review","Planview","Troux ","03/02/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Information Technology :: IT Planning :: IT Portfolio Management","","Greater than 50","True","","False","","","","Planview | Troux ","No","216000","0.0000","Information Technology :: IT Planning"
"120","TGB048.2016","02/04/2016","Technology","Approved","False","True","TGB Technology Review","VMWare","Airwatch MDM / MAM","02/04/2016","Hybrid (Contains both cloud based and on premise components)","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Mobile Computing Management","","","","False","","False","","","","VMWare | Airwatch MDM / MAM","No","0.0000","0.0000","End User Computing :: Endpoint Computing"
"121","TGB049.2016","02/04/2016","Technology","Approved","False","True","TGB Technology Review","Apache Foundation","NiFi","02/04/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Application Integration :: Message Queing","","","","False","","False","","","","Apache Foundation | NiFi","Yes","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"82","TGB009.2017","03/09/2017","Application","Approved","True","True","AIGB Application Review","x.ai","x.ai Personal Assistant","03/07/2017","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Seeking Approval","False","","Enterprise","","Less than  25","False","","False","","","","x.ai | x.ai Personal Assistant","No","0.0000","0.0000","Enterprise"
"122","AIGB023.2017","03/23/2017","Application","Approved","True","True","AIGB Application Review","Rose & Associates","ProjectRA","03/21/2017","","Hybrid (Contains both cloud based and on premises components)","Proof of Concept/Technology","Raise Awareness","False","","Engineering :: Reservoir Characterization","","Between 25 and 50","True","","False","","","","Rose & Associates | ProjectRA","No","0.0000","0.0000","Engineering :: Reservoir Characterization"
"124","TGB010.2017","03/30/2017","Technology","Approved","False","True","TGB Technology Review","IBM","BPM Cloud - Bluemix","03/28/2017","Hybrid (Contains both cloud based and on premise components)","","Pilot (Small Production Sample)","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Business Process Management (BPM) & Workflow :: Business Process Management","","","","False","","False","","","","IBM | BPM Cloud - Bluemix","No","20000","0.0000","Middleware & Platform :: Integration & Data Management"
"78","TGB011.2017","03/30/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Visual Studio Team Services","02/27/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management","","","","False","","False","","","","Microsoft | Visual Studio Team Services","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services"
"84","TGB012.2017","03/30/2017","Technology","Approved","False","False","TGB Technology Review","Wombat Security Technologies","Anti-Phishing Suite","03/09/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Digital Security :: Preventative Security","","","","False","","False","","","","Wombat Security Technologies | Anti-Phishing Suite","No","45000","0.0000","Digital Security :: Preventative Security"
"76","TGB013.2017","02/16/2017","Technology","Approved","False","False","TGB Technology Review","Informatica","Informatica Power Exchange for Cloud Applications - Azure Blob Storage","02/16/2017","Cloud Hosted Software as a Service (SaaS)","On-Premises Hosted Application","Research & Development","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration","","","Less than  25","True","","False","","","","Informatica | Informatica Power Exchange for Cloud Applications - Azure Blob Storage","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"130","TGB014.2017","04/27/2017","Technology","Approved","True","False","TGB Technology Review","ExtraHop","ExtraHop Discover Appliance","04/19/2017","On-Premises Infrastructure","","Proof of Concept/Technology","Raise Awareness","True","Digital Security :: Detective Security :: Network Based Forensics :: Network Packet Analytics","","","","False","","False","","","","ExtraHop | ExtraHop Discover Appliance","No","40000","200000","Digital Security :: Detective Security"
"127","TGB015.2017","04/27/2017","Technology","Approved","True","False","TGB Technology Review","TensorFlow","TensorFlow","04/27/2017","Cloud Hosted Infrastructure as a Service (IaaS)","","Research & Development","Consultation/Guidance","False","Information Delivery :: Reporting & Analytics :: Machine Learning","","","","False","","False","","","","TensorFlow | TensorFlow","Yes","15000","0.0000","Information Delivery :: Reporting & Analytics"
"138","AIGB024.2017","05/04/2017","Application","Approved","False","False","AIGB Application Review","Schlumberger","Peep Bulk Update Plugin","05/04/2017","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Reservoir Characterization :: Reservoir Financial Evaluation","","Less than  25","False","","False","","","","Schlumberger | Peep Bulk Update Plugin","No","0.0000","0.0000","Engineering :: Reservoir Characterization"
"137","AIGB025.2017","05/04/2017","Technology","Approved","False","False","AIGB Application Review","Harvard CBI","Lightsheet CZI to TIFF Image  Converter","05/04/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Seeking Approval","False","","Geoscience","","Less than  25","False","","False","","","","Harvard CBI | Lightsheet CZI to TIFF Image  Converter","No","0.0000","0.0000","Geoscience"
"132","AIGB025.2017","05/04/2017","Application","Approved","True","False","AIGB Application Review","Golder","FracMan","05/04/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Seeking Approval","False","","Geoscience","","Less than  25","True","","False","","","","Golder | FracMan","No","15000","75000","Geoscience"
"128","AIGB026.2017","05/04/2017","Application","Approved","True","True","AIGB Application Review","Agile Upstream","Agile Land Insights (ALI)","04/19/2017","","Cloud Hosted Software as a Service (SaaS)","Proof of Concept/Technology","Seeking Approval","False","","Land","","Less than  25","False","","False","","","","Agile Upstream | Agile Land Insights (ALI)","No","4320","50000","Land"
"142","TGB016.2017","05/11/2017","Technology","Approved","True","False","TGB Technology Review","Postdot Technologies","Postman","05/11/2017","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management :: Application Build & Test","","","","False","","False","","","","Postdot Technologies | Postman","Yes","0.0000","0.0000","Middleware & Platform :: Application Platform Services"
"145","TGB017.2017","05/11/2017","Technology","Approved","False","False","TGB Technology Review","RISC Networks","CloudScape","05/11/2017","Hybrid (Contains both cloud based and on premise components)","","Production","Seeking Approval","True","Infrastructure :: Infrastructure Management :: Virtual Infrastructure Management","","","","False","","False","","","","RISC Networks | CloudScape","No","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"140","TGB017.2017","05/11/2017","Technology","Approved","False","False","TGB Technology Review","CloudEndure","LiveMigration","05/11/2017","Hybrid (Contains both cloud based and on premise components)","","Production","Seeking Approval","True","Infrastructure :: Infrastructure Management :: Virtual Infrastructure Management","","","","False","","False","","","","CloudEndure | LiveMigration","No","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"136","TGB018.2017","05/11/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Visual Studio Mobile Center","05/04/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Mobile Computing Management :: Mobile Application Management (MAM)","","","","False","","False","","","","Microsoft | Visual Studio Mobile Center","No","4335","300","End User Computing :: Endpoint Computing"
"144","AIGB027.2017","05/18/2017","Application","Approved","True","False","AIGB Application Review","Accenture","Automation Identification Diagnostic Tool","05/12/2017","","On-Premises Hosted Application","Proof of Concept/Technology","Seeking Approval","False","","Finance and Accounting :: Accounting Management","","Less than  25","True","","False","","","","Accenture | Automation Identification Diagnostic Tool","No","0.0000","0.0000","Finance and Accounting :: Accounting Management"
"139","AIGB028.2017","05/18/2017","Application","Approved","False","False","AIGB Application Review","Articulate","Articulate 360","05/09/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Environment, Health and Safety :: EHS Training","","Less than  25","False","","False","","","","Articulate | Articulate 360","No","8800","0.0000","Environment, Health and Safety :: EHS Training"
